ردیف,دسته بندی,محصول,وزن,عیار,فی تهیه اجرت درصدی,اجرت درصدی فروش,فی تهیه اجرت مبلغی,اجرت مبلغی فروش,فی تهیه سنگ,فی فروش سنگ,رنگ,نوع کالا,سایز,کد قدیمی,تصویر
467,کار ساخته بازار,GD01014466,3.68,750.0,4.5,7.0,0.0,0.0,0.0,0.0,زرد,النگو,3.0,,Img20260702-858.jpg
468,کار ساخته بازار,GD01014465 - AS,2.65,750.0,6.5,7.5,0.0,0.0,0.0,0.0,زرد,انگشتر,,,Img20260702-286.jpg
469,کار ساخته بازار,GD01014463,3.21,750.0,4.5,7.0,0.0,0.0,0.0,0.0,زرد,النگو,2.0,,Img20260702-1498.jpg
470,کار ساخته بازار,GD01014462,3.54,750.0,4.5,7.0,0.0,0.0,0.0,0.0,زرد,النگو,3.0,,Img20260702-434.jpg
471,کار ساخته بازار,GD01014461,3.46,750.0,4.5,7.0,0.0,0.0,0.0,0.0,زرد,النگو,3.0,,Img20260702-353.jpg
472,کار ساخته بازار,GD01014460,3.61,750.0,4.5,7.0,0.0,0.0,0.0,0.0,زرد,النگو,3.0,,Img20260701-653.jpg
473,کار ساخته بازار,GD01014459,8.32,750.0,6.5,9.0,0.0,0.0,0.0,0.0,دو رنگ,تک پوش,3.0,,Img20260701-694.jpg
474,کار ساخته بازار,GD01014458,6.2,750.0,6.5,6.5,0.0,0.0,0.0,0.0,دو رنگ,تک پوش,1.0,,Img20260705-764.jpg
475,کار ساخته بازار,GD01014457,3.47,750.0,10.5,12.0,0.0,0.0,0.0,0.0,زرد,دستبند,,,Img20260702-793.jpg
476,کار ساخته بازار,GD01014456,2.29,750.0,7.5,9.0,0.0,0.0,0.0,0.0,زرد,انگشتر,,,Img20260702-550.jpg
477,کار ساخته بازار,GD01014455,2.84,750.0,7.5,9.0,0.0,0.0,0.0,0.0,زرد,انگشتر,,,Img20260702-331.jpg
478,کار ساخته بازار,GD01014454,2.83,750.0,7.5,9.0,0.0,0.0,0.0,0.0,زرد,انگشتر,,,Img20260702-707.jpg
479,کار ساخته بازار,GD01014453,2.3,750.0,7.5,9.0,0.0,0.0,0.0,0.0,زرد,انگشتر,,,Img20260702-206.jpg
480,کار ساخته بازار,GD01014452,1.8,750.0,9.0,10.0,0.0,0.0,0.0,0.0,زرد,مدال,,,Img20260702-441.jpg
481,کار ساخته بازار,GD01014450,2.12,750.0,9.0,10.0,0.0,0.0,0.0,0.0,زرد,گوشواره,,,Img20260701-619.jpg
482,کار ساخته بازار,GD01014449 - گوی,4.95,750.0,8.5,10.0,0.0,0.0,0.0,0.0,زرد,النگو,3.0,,Img20260701-433.jpg
483,کار ساخته بازار,GD01014448 - گوی,4.86,750.0,8.5,10.0,0.0,0.0,0.0,0.0,زرد,النگو,3.0,,Img20260706-531.jpg
